num_candle,entry_type,entry_type_account,entry_number_candle,entry_condition,entry_amount,entry_registration_date,entry_result,sma_30_value,sma_10_value,rsi_value,movement_open_candle,movement_close_candle,movement_high_candle,movement_low_candle,movement_volume_candle
25,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070405,1.070445,1.07045,1.0704,117
26,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070395,1.07043,1.070445,1.070395,115
27,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.07043,1.07042,1.07045,1.070405,129
28,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070305,1.07025,1.07033,1.070245,167
29,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070085,1.07011,1.07011,1.070005,158
30,0,0,4,1,1,20240617010008,1,1.070238499999999988906059419,1.070064499999999974022557581,21.90476190475022350377717907,1.070425,1.0704,1.07045,1.0704,121
1,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080515,1.080535,1.080545,1.080465,177
2,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080545,1.08052,1.08057,1.0805,146
3,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08043,1.080405,1.08043,1.08035,138
4,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080475,1.080425,1.080495,1.080375,161
5,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080525,1.080555,1.080665,1.080525,159
6,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08044,1.080385,1.080445,1.080355,180
7,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.0804,1.080365,1.080415,1.08036,154
8,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08028,1.080375,1.08042,1.08028,187
